term_id,term,normalized,category,language,status
EN00001,Fever,fever,symptom,english,active
EN00002,Cough,cough,symptom,english,active
EN00003,Headache,headache,symptom,english,active
EN00004,Chest Pain,chest pain,symptom,english,active
EN00005,Difficulty Breathing,difficulty breathing,symptom,english,active
EN00006,Shortness of Breath,shortness of breath,symptom,english,active
EN00007,Vomiting,vomiting,symptom,english,active
EN00008,Diarrhea,diarrhea,symptom,english,active
EN00009,Abdominal Pain,abdominal pain,symptom,english,active
EN00010,Nausea,nausea,symptom,english,active
EN00011,Dizziness,dizziness,symptom,english,active
EN00012,Fatigue,fatigue,symptom,english,active
EN00013,Sore Throat,sore throat,symptom,english,active
EN00014,Runny Nose,runny nose,symptom,english,active
EN00015,Body Pain,body pain,symptom,english,active
EN00016,Back Pain,back pain,symptom,english,active
EN00017,Ear Pain,ear pain,symptom,english,active
EN00018,Eye Pain,eye pain,symptom,english,active
EN00019,Rash,rash,symptom,english,active
EN00020,Palpitations,palpitations,symptom,english,active
EN00021,Confusion,confusion,symptom,english,active
EN00022,Seizure,seizure,symptom,english,active
EN00023,Bleeding,bleeding,symptom,english,active
EN00024,Burn,burn,symptom,english,active
EN00025,Weakness,weakness,symptom,english,active
EN00026,Swelling,swelling,symptom,english,active
EN00027,Itching,itching,symptom,english,active
EN00028,Chills,chills,symptom,english,active
EN00029,Loss of Appetite,loss of appetite,symptom,english,active
EN00030,Urinary Pain,urinary pain,symptom,english,active
EN00031,Constipation,constipation,symptom,english,active
EN00032,Insomnia,insomnia,symptom,english,active
EN00033,Wheezing,wheezing,symptom,english,active
EN00034,Coughing Blood,coughing blood,symptom,english,active
EN00035,Vomiting Blood,vomiting blood,symptom,english,active
EN00036,Fainting,fainting,symptom,english,active
EN00037,Numbness,numbness,symptom,english,active
EN00038,Paralysis,paralysis,symptom,english,active
EN00039,Vision Loss,vision loss,symptom,english,active
EN00040,1-Methylhistidinuria,1-methylhistidinuria,symptom,english,active
EN00041,1-minute APGAR Score of 0,1-minute apgar score of 0,symptom,english,active
EN00042,1-minute APGAR Score of 1,1-minute apgar score of 1,symptom,english,active
EN00043,1-minute APGAR Score of 2,1-minute apgar score of 2,symptom,english,active
EN00044,1-minute APGAR Score of 3,1-minute apgar score of 3,symptom,english,active
EN00045,1-minute APGAR Score of 4,1-minute apgar score of 4,symptom,english,active
EN00046,1-minute APGAR Score of 5,1-minute apgar score of 5,symptom,english,active
EN00047,1-minute APGAR Score of 6,1-minute apgar score of 6,symptom,english,active
EN00048,10 Pairs of Ribs,10 pairs of ribs,symptom,english,active
EN00049,10-minute APGAR Score of 0,10-minute apgar score of 0,symptom,english,active
EN00050,10-minute APGAR Score of 1,10-minute apgar score of 1,symptom,english,active
EN00051,10-minute APGAR Score of 2,10-minute apgar score of 2,symptom,english,active
EN00052,10-minute APGAR Score of 3,10-minute apgar score of 3,symptom,english,active
EN00053,10-minute APGAR Score of 4,10-minute apgar score of 4,symptom,english,active
EN00054,10-minute APGAR Score of 5,10-minute apgar score of 5,symptom,english,active
EN00055,10-minute APGAR Score of 6,10-minute apgar score of 6,symptom,english,active
EN00056,11 Pairs of Ribs,11 pairs of ribs,symptom,english,active
EN00057,11 Thoracic Vertebrae,11 thoracic vertebrae,symptom,english,active
EN00058,2 Vessel Cord,2 vessel cord,symptom,english,active
EN00059,2 Vessel Umbilical Cord,2 vessel umbilical cord,symptom,english,active
EN00060,2'-deoxyadenosine (dAdo) Elevated in Urine,2'-deoxyadenosine (dado) elevated in urine,symptom,english,active
EN00061,"2,8-dihydroxyadenine Crystalluria","2,8-dihydroxyadenine crystalluria",symptom,english,active
EN00062,"2,8-dihydroxyadenine Urinary Crystals","2,8-dihydroxyadenine urinary crystals",symptom,english,active
EN00063,2--hydroxyphenylacetic Aciduria,2--hydroxyphenylacetic aciduria,symptom,english,active
EN00064,2-aminoadipic Aciduria,2-aminoadipic aciduria,symptom,english,active
EN00065,2-ethylhydracylic Aciduria,2-ethylhydracylic aciduria,symptom,english,active
EN00066,2-hydroxy-3-methylvaleric Acid High in Urine,2-hydroxy-3-methylvaleric acid high in urine,symptom,english,active
EN00067,2-hydroxyadipic Acid High in Urine,2-hydroxyadipic acid high in urine,symptom,english,active
EN00068,2-hydroxyadipic Aciduria,2-hydroxyadipic aciduria,symptom,english,active
EN00069,2-hydroxyglutarate Aciduria,2-hydroxyglutarate aciduria,symptom,english,active
EN00070,"2-methyl-2,3-dihydroxybutyrate High in Urine","2-methyl-2,3-dihydroxybutyrate high in urine",symptom,english,active
EN00071,2-methylacetoacetic Acid Present in Urine,2-methylacetoacetic acid present in urine,symptom,english,active
EN00072,2-Methylbutyryl Glycinuria,2-methylbutyryl glycinuria,symptom,english,active
EN00073,2-methylcitric Acid High in Urine,2-methylcitric acid high in urine,symptom,english,active
EN00074,2-oxoadipic Aciduria,2-oxoadipic aciduria,symptom,english,active
EN00075,2:1 Atrioventricular Block,2:1 atrioventricular block,symptom,english,active
EN00076,2:1 AV Block,2:1 av block,symptom,english,active
EN00077,2nd Toe Symphalangism,2nd toe symphalangism,symptom,english,active
EN00078,2nd-5th Toe Middle Phalangeal Hypoplasia,2nd-5th toe middle phalangeal hypoplasia,symptom,english,active
EN00079,3-hydroxydicarboxylic Aciduria,3-hydroxydicarboxylic aciduria,symptom,english,active
EN00080,3-hydroxyglutaric Acid High in Urine,3-hydroxyglutaric acid high in urine,symptom,english,active
EN00081,3-hydroxyisobutyryl-CoA Hydrolase Deficiency,3-hydroxyisobutyryl-coa hydrolase deficiency,symptom,english,active
EN00082,3-hydroxyisovaleric Aciduria,3-hydroxyisovaleric aciduria,symptom,english,active
EN00083,3-hydroxypropionic Acid High in Urine,3-hydroxypropionic acid high in urine,symptom,english,active
EN00084,3-ketoacyl-CoA Thiolase (THIO) Deficiency,3-ketoacyl-coa thiolase (thio) deficiency,symptom,english,active
EN00085,3-methylcrotonyl CoA Carboxylase Low in Fibroblasts,3-methylcrotonyl coa carboxylase low in fibroblasts,symptom,english,active
EN00086,3-Methylglutaconic Aciduria,3-methylglutaconic aciduria,symptom,english,active
EN00087,3-Methylglutaconicaciduria,3-methylglutaconicaciduria,symptom,english,active
EN00088,3-Methylglutaric Aciduria,3-methylglutaric aciduria,symptom,english,active
EN00089,3-methylglutaricaciduria,3-methylglutaricaciduria,symptom,english,active
EN00090,3-Methylhistidinuria,3-methylhistidinuria,symptom,english,active
EN00091,3rd Toe Clinodactyly,3rd toe clinodactyly,symptom,english,active
EN00092,4-hydroxyisovaleric Acid Present in Urine,4-hydroxyisovaleric acid present in urine,symptom,english,active
EN00093,4-hydroxyphenylacetic Aciduria,4-hydroxyphenylacetic aciduria,symptom,english,active
EN00094,4-hydroxyphenyllactic Aciduria,4-hydroxyphenyllactic aciduria,symptom,english,active
EN00095,4-Hydroxyphenylpyruvic Aciduria,4-hydroxyphenylpyruvic aciduria,symptom,english,active
EN00096,4-layered Lissencephaly,4-layered lissencephaly,symptom,english,active
EN00097,"46,xy Gonadal Dysgenesis","46,xy gonadal dysgenesis",symptom,english,active
EN00098,4th Finger Camptodactyly,4th finger camptodactyly,symptom,english,active
EN00099,5-fluorouracil Exposure,5-fluorouracil exposure,symptom,english,active
EN00100,5-hydroxymethyluracil High in Blood,5-hydroxymethyluracil high in blood,symptom,english,active
EN00101,5-hydroxymethyluracil High in CSF,5-hydroxymethyluracil high in csf,symptom,english,active
EN00102,5-hydroxymethyluracil High in Urine,5-hydroxymethyluracil high in urine,symptom,english,active
EN00103,5-minute APGAR Score of 0,5-minute apgar score of 0,symptom,english,active
EN00104,5-minute APGAR Score of 1,5-minute apgar score of 1,symptom,english,active
EN00105,5-minute APGAR Score of 2,5-minute apgar score of 2,symptom,english,active
EN00106,5-minute APGAR Score of 3,5-minute apgar score of 3,symptom,english,active
EN00107,5-minute APGAR Score of 4,5-minute apgar score of 4,symptom,english,active
EN00108,5-minute APGAR Score of 5,5-minute apgar score of 5,symptom,english,active
EN00109,5-minute APGAR Score of 6,5-minute apgar score of 6,symptom,english,active
EN00110,5-oxoprolinase Deficiency,5-oxoprolinase deficiency,symptom,english,active
EN00111,5th Finger Middle Phalangeal Hypoplasia,5th finger middle phalangeal hypoplasia,symptom,english,active
EN00112,6 Long Bones of Hand,6 long bones of hand,symptom,english,active
EN00113,6 Metacarpals,6 metacarpals,symptom,english,active
EN00114,6-layered Lissencephaly,6-layered lissencephaly,symptom,english,active
EN00115,6-mercaptopurine Exposure,6-mercaptopurine exposure,symptom,english,active
EN00116,A Decline or Reduced Social Expression and Social Connectedness,a decline or reduced social expression and social connectedness,symptom,english,active
EN00117,A Severe Pyogenic Infection of the Epidural Space,a severe pyogenic infection of the epidural space,symptom,english,active
EN00118,AA Amyloidosis,aa amyloidosis,symptom,english,active
EN00119,Abasia,abasia,symptom,english,active
EN00120,Abdominal Adhesions,abdominal adhesions,symptom,english,active
EN00121,Abdominal Aortic Aneurysm,abdominal aortic aneurysm,symptom,english,active
EN00122,Abdominal Aortic Calcification,abdominal aortic calcification,symptom,english,active
EN00123,Abdominal Aortic Dissection,abdominal aortic dissection,symptom,english,active
EN00124,Abdominal Aseptic Abscess,abdominal aseptic abscess,symptom,english,active
EN00125,Abdominal Aura,abdominal aura,symptom,english,active
EN00126,Abdominal Bloating,abdominal bloating,symptom,english,active
EN00127,Abdominal Colic,abdominal colic,symptom,english,active
EN00128,Abdominal Cramps,abdominal cramps,symptom,english,active
EN00129,Abdominal Distension,abdominal distension,symptom,english,active
EN00130,Abdominal Distension (gaseous),abdominal distension (gaseous),symptom,english,active
EN00131,Abdominal Distention,abdominal distention,symptom,english,active
EN00132,Abdominal Ectopia Cordis,abdominal ectopia cordis,symptom,english,active
EN00133,Abdominal Guarding,abdominal guarding,symptom,english,active
EN00134,Abdominal Mass,abdominal mass,symptom,english,active
EN00135,Abdominal Muscular Hypoplasia,abdominal muscular hypoplasia,symptom,english,active
EN00136,Abdominal Obesity,abdominal obesity,symptom,english,active
EN00137,Abdominal Organ Duplication,abdominal organ duplication,symptom,english,active
EN00138,Abdominal Protuberance,abdominal protuberance,symptom,english,active
EN00139,Abdominal Reflex Absent,abdominal reflex absent,symptom,english,active
EN00140,Abdominal Rigidity,abdominal rigidity,symptom,english,active
EN00141,"Abdominal Rigidity, Unspecified Site","abdominal rigidity, unspecified site",symptom,english,active
EN00142,Abdominal Situs Ambiguus,abdominal situs ambiguus,symptom,english,active
EN00143,Abdominal Situs Inversus,abdominal situs inversus,symptom,english,active
EN00144,Abdominal Swelling,abdominal swelling,symptom,english,active
EN00145,Abdominal Symptom,abdominal symptom,symptom,english,active
EN00146,"Abdominal Tenderness, Unspecified Site","abdominal tenderness, unspecified site",symptom,english,active
EN00147,Abdominal Wall Defect,abdominal wall defect,symptom,english,active
EN00148,Abdominal Wall Mass,abdominal wall mass,symptom,english,active
EN00149,Abdominal Wall Muscle Weakness,abdominal wall muscle weakness,symptom,english,active
EN00150,Abducens Nerve Palsy,abducens nerve palsy,symptom,english,active
EN00151,Abducens Nerve Paralysis,abducens nerve paralysis,symptom,english,active
EN00152,Abducens Nerve Paresis,abducens nerve paresis,symptom,english,active
EN00153,Abducens Palsy,abducens palsy,symptom,english,active
EN00154,Abducted Thumb,abducted thumb,symptom,english,active
EN00155,Abduction Contracture of the Shoulder,abduction contracture of the shoulder,symptom,english,active
EN00156,Aberrant Melanosome Maturation,aberrant melanosome maturation,symptom,english,active
EN00157,Aberrant Neuronal Branching,aberrant neuronal branching,symptom,english,active
EN00158,Aberrant Right Subclavian Artery,aberrant right subclavian artery,symptom,english,active
EN00159,Aberrant Right Subclavian Artery Syndrome,aberrant right subclavian artery syndrome,symptom,english,active
EN00160,Aberrant Thyroid,aberrant thyroid,symptom,english,active
EN00161,Aberrant Thyroid Gland,aberrant thyroid gland,symptom,english,active
EN00162,Abetalipoproteinemia,abetalipoproteinemia,symptom,english,active
EN00163,Ablepharon,ablepharon,symptom,english,active
EN00164,Ablepharon of Eyelid,ablepharon of eyelid,symptom,english,active
EN00165,Abn Cytolog Find in Specmn From Oth Female Genital Organs,abn cytolog find in specmn from oth female genital organs,symptom,english,active
EN00166,Abn Cytolog Findings in Specmn From Oth Dgstv Org/abd Cav,abn cytolog findings in specmn from oth dgstv org/abd cav,symptom,english,active
EN00167,"Abn Findings On Dx Imaging of Abd Regions, Inc Retroperiton","abn findings on dx imaging of abd regions, inc retroperiton",symptom,english,active
EN00168,Abn Histolog Findings in Specmn From Female Genital Organs,abn histolog findings in specmn from female genital organs,symptom,english,active
EN00169,Abn Histolog Findings in Specmn From Male Genital Organs,abn histolog findings in specmn from male genital organs,symptom,english,active
EN00170,Abn Immunolog Findings in Specmn From Female Genital Organs,abn immunolog findings in specmn from female genital organs,symptom,english,active
EN00171,Abn Immunolog Findings in Specmn From Male Genital Organs,abn immunolog findings in specmn from male genital organs,symptom,english,active
EN00172,Abn Lev Drug/meds/biol Subst in Cerebrospinal Fluid,abn lev drug/meds/biol subst in cerebrospinal fluid,symptom,english,active
EN00173,Abn Lev Drug/meds/biol Subst in Specimens From Oth Org/tiss,abn lev drug/meds/biol subst in specimens from oth org/tiss,symptom,english,active
EN00174,Abn Lev Drug/meds/biol Subst in Specimens From Resp Org/thrx,abn lev drug/meds/biol subst in specimens from resp org/thrx,symptom,english,active
EN00175,Abn Lev Drug/meds/biol Subst in Specmn Fr Dgstv Org/abd Cav,abn lev drug/meds/biol subst in specmn fr dgstv org/abd cav,symptom,english,active
EN00176,Abn Lev Drug/meds/biol Subst in Specmn From Fem Gntl Organs,abn lev drug/meds/biol subst in specmn from fem gntl organs,symptom,english,active
EN00177,Abn Lev Drug/meds/biol Subst in Specmn From Male Gntl Organs,abn lev drug/meds/biol subst in specmn from male gntl organs,symptom,english,active
EN00178,Abn Lev Enzymes in Specimens From Dgstv Org/abd Cav,abn lev enzymes in specimens from dgstv org/abd cav,symptom,english,active
EN00179,Abn Lev Enzymes in Specimens From Female Genital Organs,abn lev enzymes in specimens from female genital organs,symptom,english,active
EN00180,Abn Lev Enzymes in Specimens From Male Genital Organs,abn lev enzymes in specimens from male genital organs,symptom,english,active
EN00181,Abn Lev Hormones in Specimens From Dgstv Org/abd Cav,abn lev hormones in specimens from dgstv org/abd cav,symptom,english,active
EN00182,Abn Lev Hormones in Specimens From Female Genital Organs,abn lev hormones in specimens from female genital organs,symptom,english,active
EN00183,Abn Lev Hormones in Specimens From Male Genital Organs,abn lev hormones in specimens from male genital organs,symptom,english,active
EN00184,Abn Lev Substances Chiefly Nonmedicinal As to Source in CSF,abn lev substances chiefly nonmedicinal as to source in csf,symptom,english,active
EN00185,Abn Lev Substnc Nonmed Source in Specmn Fr Dgstv Org/abd Cav,abn lev substnc nonmed source in specmn fr dgstv org/abd cav,symptom,english,active
EN00186,Abn Lev Substnc Nonmed Source in Specmn From Fem Gntl Organs,abn lev substnc nonmed source in specmn from fem gntl organs,symptom,english,active
EN00187,Abn Lev Substnc Nonmed Source in Specmn From Male Gntl Org,abn lev substnc nonmed source in specmn from male gntl org,symptom,english,active
EN00188,Abn Lev Substnc Nonmed Source in Specmn From Oth Org/tiss,abn lev substnc nonmed source in specmn from oth org/tiss,symptom,english,active
EN00189,Abn Lev Substnc Nonmed Source in Specmn From Resp Org/thrx,abn lev substnc nonmed source in specmn from resp org/thrx,symptom,english,active
EN00190,Abn Microbiolog Find in Specmn From Female Genital Organs,abn microbiolog find in specmn from female genital organs,symptom,english,active
EN00191,Abn Microbiolog Findings in Specmn From Dgstv Org/abd Cav,abn microbiolog findings in specmn from dgstv org/abd cav,symptom,english,active
EN00192,Abn Microbiolog Findings in Specmn From Male Genital Organs,abn microbiolog findings in specmn from male genital organs,symptom,english,active
EN00193,"Abn Radlgc Find On Dx Imaging Renal Pelv, Ureter, or Blddr","abn radlgc find on dx imaging renal pelv, ureter, or blddr",symptom,english,active
EN00194,Abn Radlgc Findings On Dx Imaging of Other Urinary Organs,abn radlgc findings on dx imaging of other urinary organs,symptom,english,active
EN00195,Abn Results of Function Studies of Ear and Oth Sp Senses,abn results of function studies of ear and oth sp senses,symptom,english,active
EN00196,Abnormal 1st Metacarpal Morphology,abnormal 1st metacarpal morphology,symptom,english,active
EN00197,Abnormal 2nd Finger Morphology,abnormal 2nd finger morphology,symptom,english,active
EN00198,Abnormal 2nd Metacarpal Morphology,abnormal 2nd metacarpal morphology,symptom,english,active
EN00199,Abnormal 2nd Toe Morphology,abnormal 2nd toe morphology,symptom,english,active
EN00200,Abnormal 2nd Toe Phalanx Morphology,abnormal 2nd toe phalanx morphology,symptom,english,active
EN00201,Abnormal 3rd Finger Morphology,abnormal 3rd finger morphology,symptom,english,active
EN00202,Abnormal 3rd Finger Phalanx Morphology,abnormal 3rd finger phalanx morphology,symptom,english,active
EN00203,Abnormal 3rd Metacarpal Epiphysis Morphology,abnormal 3rd metacarpal epiphysis morphology,symptom,english,active
EN00204,Abnormal 3rd Metacarpal Morphology,abnormal 3rd metacarpal morphology,symptom,english,active
EN00205,Abnormal 3rd Toe Morphology,abnormal 3rd toe morphology,symptom,english,active
EN00206,Abnormal 4th Finger Morphology,abnormal 4th finger morphology,symptom,english,active
EN00207,Abnormal 4th Finger Phalanx Morphology,abnormal 4th finger phalanx morphology,symptom,english,active
EN00208,Abnormal 4th Metacarpal Epiphysis Morphology,abnormal 4th metacarpal epiphysis morphology,symptom,english,active
EN00209,Abnormal 4th Metacarpal Morphology,abnormal 4th metacarpal morphology,symptom,english,active
EN00210,Abnormal 4th Toe Morphology,abnormal 4th toe morphology,symptom,english,active
EN00211,Abnormal 5th Finger Morphology,abnormal 5th finger morphology,symptom,english,active
EN00212,Abnormal 5th Finger Phalanx Morphology,abnormal 5th finger phalanx morphology,symptom,english,active
EN00213,Abnormal 5th Metacarpal Epiphysis Morphology,abnormal 5th metacarpal epiphysis morphology,symptom,english,active
EN00214,Abnormal 5th Metacarpal Morphology,abnormal 5th metacarpal morphology,symptom,english,active
EN00215,Abnormal 5th Toe Morphology,abnormal 5th toe morphology,symptom,english,active
EN00216,Abnormal 6-hydroxypurine Phosphoribosyltransferase Level,abnormal 6-hydroxypurine phosphoribosyltransferase level,symptom,english,active
EN00217,Abnormal A-type Atrial Natriuretic Peptide Level,abnormal a-type atrial natriuretic peptide level,symptom,english,active
EN00218,Abnormal Abdomen Morphology,abnormal abdomen morphology,symptom,english,active
EN00219,Abnormal Abdominal Wall Morphology,abnormal abdominal wall morphology,symptom,english,active
EN00220,Abnormal Abducens Nerve Morphology,abnormal abducens nerve morphology,symptom,english,active
EN00221,Abnormal Abeta 40 Level,abnormal abeta 40 level,symptom,english,active
EN00222,Abnormal Absence of Menstruation,abnormal absence of menstruation,symptom,english,active
EN00223,Abnormal Acetabulum Morphology,abnormal acetabulum morphology,symptom,english,active
EN00224,Abnormal Achilles Tendon Morphology,abnormal achilles tendon morphology,symptom,english,active
EN00225,Abnormal Activity of Mitochondrial Respiratory Chain,abnormal activity of mitochondrial respiratory chain,symptom,english,active
EN00226,Abnormal Adiponectin Level,abnormal adiponectin level,symptom,english,active
EN00227,Abnormal Adipose Tissue Morphology,abnormal adipose tissue morphology,symptom,english,active
EN00228,Abnormal Adrenal Gland Position,abnormal adrenal gland position,symptom,english,active
EN00229,Abnormal Adrenal Morphology,abnormal adrenal morphology,symptom,english,active
EN00230,Abnormal Affect,abnormal affect,symptom,english,active
EN00231,Abnormal Affect Regulation,abnormal affect regulation,symptom,english,active
EN00232,Abnormal Alanine Levels in Cerebrospinal Fluid,abnormal alanine levels in cerebrospinal fluid,symptom,english,active
EN00233,Abnormal Albumin Level,abnormal albumin level,symptom,english,active
EN00234,Abnormal Albumin Levels in Cerebrospinal Fluid,abnormal albumin levels in cerebrospinal fluid,symptom,english,active
EN00235,Abnormal Alcohol Consumption,abnormal alcohol consumption,symptom,english,active
EN00236,Abnormal Aldolase Level,abnormal aldolase level,symptom,english,active
EN00237,Abnormal Alpha Granule Content,abnormal alpha granule content,symptom,english,active
EN00238,Abnormal Alpha Granule Distribution,abnormal alpha granule distribution,symptom,english,active
EN00239,Abnormal Alpha Granules,abnormal alpha granules,symptom,english,active
EN00240,Abnormal Alpha-aminobutyrate Levels in Cerebrospinal Fluid,abnormal alpha-aminobutyrate levels in cerebrospinal fluid,symptom,english,active
EN00241,Abnormal Alveolar Epithelial Type II Cell Morphology,abnormal alveolar epithelial type ii cell morphology,symptom,english,active
EN00242,Abnormal Alveolar Macrophage Morphology,abnormal alveolar macrophage morphology,symptom,english,active
EN00243,Abnormal Alveolar Ridge Morphology,abnormal alveolar ridge morphology,symptom,english,active
EN00244,Abnormal Alveolar Type II Pneumocyte Morphology,abnormal alveolar type ii pneumocyte morphology,symptom,english,active
EN00245,Abnormal Alveolar Volume,abnormal alveolar volume,symptom,english,active
EN00246,Abnormal Amino Acid Levels in Cerebrospinal Fluid,abnormal amino acid levels in cerebrospinal fluid,symptom,english,active
EN00247,Abnormal Amniotic Fluid,abnormal amniotic fluid,symptom,english,active
EN00248,Abnormal Amniotic Fluid Protein Concentration,abnormal amniotic fluid protein concentration,symptom,english,active
EN00249,Abnormal Amplitude of Dark-adapted Bright Flash Electroretinogram,abnormal amplitude of dark-adapted bright flash electroretinogram,symptom,english,active
EN00250,Abnormal Amplitude of Dark-adapted Dim Flash Electroretinogram,abnormal amplitude of dark-adapted dim flash electroretinogram,symptom,english,active
EN00251,Abnormal Amplitude of Flash Visual Evoked Potentials,abnormal amplitude of flash visual evoked potentials,symptom,english,active
EN00252,Abnormal Amplitude of Light-adapted Flicker Electroretinogram,abnormal amplitude of light-adapted flicker electroretinogram,symptom,english,active
EN00253,Abnormal Amplitude of Light-adapted Single Flash Electroretinogram,abnormal amplitude of light-adapted single flash electroretinogram,symptom,english,active
EN00254,Abnormal Amplitude of Pattern Electroretinogram,abnormal amplitude of pattern electroretinogram,symptom,english,active
EN00255,Abnormal Amplitude of Pattern Onset/offset VEP,abnormal amplitude of pattern onset/offset vep,symptom,english,active
EN00256,Abnormal Amplitude of Pattern Onset/offset Visual Evoked Potentials,abnormal amplitude of pattern onset/offset visual evoked potentials,symptom,english,active
EN00257,Abnormal Amplitude of Pattern Reversal Visual Evoked Potentials,abnormal amplitude of pattern reversal visual evoked potentials,symptom,english,active
EN00258,Abnormal Amsler Grid Test,abnormal amsler grid test,symptom,english,active
EN00259,Abnormal Amygdala Morphology,abnormal amygdala morphology,symptom,english,active
EN00260,Abnormal Amyloid Beta 40 Peptide CSF Concentration,abnormal amyloid beta 40 peptide csf concentration,symptom,english,active
EN00261,Abnormal Amyloid Beta 42 Peptide CSF Concentration,abnormal amyloid beta 42 peptide csf concentration,symptom,english,active
EN00262,Abnormal Amyloid Beta Peptide CSF Concentration,abnormal amyloid beta peptide csf concentration,symptom,english,active
EN00263,Abnormal Anatomic Location of the Heart,abnormal anatomic location of the heart,symptom,english,active
EN00264,Abnormal Ankle Bones,abnormal ankle bones,symptom,english,active
EN00265,Abnormal Ankle Morphology,abnormal ankle morphology,symptom,english,active
EN00266,Abnormal Ankle Physiology,abnormal ankle physiology,symptom,english,active
EN00267,Abnormal Antehelix,abnormal antehelix,symptom,english,active
EN00268,Abnormal Anterior Chamber Morphology,abnormal anterior chamber morphology,symptom,english,active
EN00269,Abnormal Anterior Cricoarytenoid Muscle Morphology,abnormal anterior cricoarytenoid muscle morphology,symptom,english,active
EN00270,Abnormal Anterior Eye Segment Morphology,abnormal anterior eye segment morphology,symptom,english,active
EN00271,Abnormal Anterior Fontanelle Morphology,abnormal anterior fontanelle morphology,symptom,english,active
EN00272,Abnormal Anterior Horn Cell Morphology,abnormal anterior horn cell morphology,symptom,english,active
EN00273,Abnormal Anterior Segment Morphology,abnormal anterior segment morphology,symptom,english,active
EN00274,Abnormal Anterior Semicircular Canal Morphology,abnormal anterior semicircular canal morphology,symptom,english,active
EN00275,Abnormal Anteroposterior Retina Thickness On OCT,abnormal anteroposterior retina thickness on oct,symptom,english,active
EN00276,Abnormal Anthelix,abnormal anthelix,symptom,english,active
EN00277,Abnormal Antihelix,abnormal antihelix,symptom,english,active
EN00278,Abnormal Antihelix Morphology,abnormal antihelix morphology,symptom,english,active
EN00279,Abnormal Antimullerian Hormone Level,abnormal antimullerian hormone level,symptom,english,active
EN00280,Abnormal Antitragus Morphology,abnormal antitragus morphology,symptom,english,active
EN00281,Abnormal Antral Follicle Count,abnormal antral follicle count,symptom,english,active
EN00282,Abnormal Anus Morphology,abnormal anus morphology,symptom,english,active
EN00283,Abnormal Anus Physiology,abnormal anus physiology,symptom,english,active
EN00284,Abnormal Anus Position,abnormal anus position,symptom,english,active
EN00285,Abnormal Aorta Morphology,abnormal aorta morphology,symptom,english,active
EN00286,Abnormal Aortic Arch Morphology,abnormal aortic arch morphology,symptom,english,active
EN00287,Abnormal Aortic Morphology,abnormal aortic morphology,symptom,english,active
EN00288,Abnormal Aortic Physiology,abnormal aortic physiology,symptom,english,active
EN00289,Abnormal Aortic Valve Cusp Morphology,abnormal aortic valve cusp morphology,symptom,english,active
EN00290,Abnormal Aortic Valve Morphology,abnormal aortic valve morphology,symptom,english,active
EN00291,Abnormal Aortic Valve Physiology,abnormal aortic valve physiology,symptom,english,active
EN00292,Abnormal Apolipoprotein Level,abnormal apolipoprotein level,symptom,english,active
EN00293,Abnormal Apoptosis,abnormal apoptosis,symptom,english,active
EN00294,Abnormal Appendicular Skeleton Morphology,abnormal appendicular skeleton morphology,symptom,english,active
EN00295,Abnormal Arachnoid Mater Morphology,abnormal arachnoid mater morphology,symptom,english,active
EN00296,Abnormal Arcuate Artery Endothelium Morphology,abnormal arcuate artery endothelium morphology,symptom,english,active
EN00297,Abnormal Arcuate Artery Intima/media Morphology,abnormal arcuate artery intima/media morphology,symptom,english,active
EN00298,Abnormal Arcuate Artery Lumen Morphology,abnormal arcuate artery lumen morphology,symptom,english,active
EN00299,Abnormal Arcuate Artery Morphology,abnormal arcuate artery morphology,symptom,english,active
EN00300,Abnormal Arcuate Vein Intima/media Morphology,abnormal arcuate vein intima/media morphology,symptom,english,active
EN00301,Abnormal Arcuate Vein Lumen Morphology,abnormal arcuate vein lumen morphology,symptom,english,active
EN00302,Abnormal Arcuate Vein Morphology,abnormal arcuate vein morphology,symptom,english,active
EN00303,Abnormal Areolar Morphology,abnormal areolar morphology,symptom,english,active
EN00304,Abnormal Arginine Levels in Cerebrospinal Fluid,abnormal arginine levels in cerebrospinal fluid,symptom,english,active
EN00305,Abnormal Arm Span,abnormal arm span,symptom,english,active
EN00306,Abnormal Aromatase Activity,abnormal aromatase activity,symptom,english,active
EN00307,Abnormal Aromatic Amino Acid Levels in Cerebrospinal Fluid,abnormal aromatic amino acid levels in cerebrospinal fluid,symptom,english,active
EN00308,Abnormal Arterial Physiology,abnormal arterial physiology,symptom,english,active
EN00309,Abnormal Aryepiglottic Fold Morphology,abnormal aryepiglottic fold morphology,symptom,english,active
EN00310,Abnormal Aryepiglottic Folds,abnormal aryepiglottic folds,symptom,english,active
EN00311,Abnormal Ascending Aorta Morphology,abnormal ascending aorta morphology,symptom,english,active
EN00312,Abnormal Aspartate-family Amino Acid Levels in Cerebrospinal Fluid,abnormal aspartate-family amino acid levels in cerebrospinal fluid,symptom,english,active
EN00313,Abnormal Aspartic Acid Levels in Cerebrospinal Fluid,abnormal aspartic acid levels in cerebrospinal fluid,symptom,english,active
EN00314,Abnormal Astrocyte Morphology,abnormal astrocyte morphology,symptom,english,active
EN00315,Abnormal Atrial Arrangement,abnormal atrial arrangement,symptom,english,active
EN00316,Abnormal Atrial Septum Morphology,abnormal atrial septum morphology,symptom,english,active
EN00317,Abnormal Atrioventricular Conduction,abnormal atrioventricular conduction,symptom,english,active
