term_id,term,normalized,category,language,status
EN03314,Abnormality of Mesentery Morphology,abnormality of mesentery morphology,symptom,english,active
EN03315,Abnormality of Metabolism/homeostasis,abnormality of metabolism/homeostasis,symptom,english,active
EN03316,Abnormality of Metacarpal Epiphyses,abnormality of metacarpal epiphyses,symptom,english,active
EN03317,Abnormality of Metacarpophalangeal Joint,abnormality of metacarpophalangeal joint,symptom,english,active
EN03318,Abnormality of Metatarsal Epiphysis,abnormality of metatarsal epiphysis,symptom,english,active
EN03319,Abnormality of Methionine Metabolism,abnormality of methionine metabolism,symptom,english,active
EN03320,Abnormality of Midbrain Morphology,abnormality of midbrain morphology,symptom,english,active
EN03321,Abnormality of Middle 2nd Finger Phalanx,abnormality of middle 2nd finger phalanx,symptom,english,active
EN03322,Abnormality of Middle 4th Toe Bone,abnormality of middle 4th toe bone,symptom,english,active
EN03323,Abnormality of Middle Finger Phalanges,abnormality of middle finger phalanges,symptom,english,active
EN03324,Abnormality of Milk Teeth,abnormality of milk teeth,symptom,english,active
EN03325,Abnormality of Mitochondrial Metabolism,abnormality of mitochondrial metabolism,symptom,english,active
EN03326,Abnormality of Molar,abnormality of molar,symptom,english,active
EN03327,Abnormality of Molar Morphology,abnormality of molar morphology,symptom,english,active
EN03328,Abnormality of Monovalent Inorganic Cation Homeostasis,abnormality of monovalent inorganic cation homeostasis,symptom,english,active
EN03329,Abnormality of Mouth Shape,abnormality of mouth shape,symptom,english,active
EN03330,Abnormality of Mouth Size,abnormality of mouth size,symptom,english,active
EN03331,Abnormality of Movement,abnormality of movement,symptom,english,active
EN03332,Abnormality of Mucopolysaccharide Metabolism,abnormality of mucopolysaccharide metabolism,symptom,english,active
EN03333,Abnormality of Mucosa of Mouth,abnormality of mucosa of mouth,symptom,english,active
EN03334,Abnormality of Mucosa of Nose,abnormality of mucosa of nose,symptom,english,active
EN03335,Abnormality of Mucous Membrane of Nose,abnormality of mucous membrane of nose,symptom,english,active
EN03336,Abnormality of Multiple Cell Lineages in the Bone Marrow,abnormality of multiple cell lineages in the bone marrow,symptom,english,active
EN03337,Abnormality of Muscle Fibers,abnormality of muscle fibers,symptom,english,active
EN03338,Abnormality of Muscle Fibres,abnormality of muscle fibres,symptom,english,active
EN03339,Abnormality of Muscle Morphology,abnormality of muscle morphology,symptom,english,active
EN03340,Abnormality of Muscle of Facial Expression,abnormality of muscle of facial expression,symptom,english,active
EN03341,Abnormality of Muscle of Nose,abnormality of muscle of nose,symptom,english,active
EN03342,Abnormality of Muscle Physiology,abnormality of muscle physiology,symptom,english,active
EN03343,Abnormality of Muscle Size,abnormality of muscle size,symptom,english,active
EN03344,Abnormality of Muscles of Mastication,abnormality of muscles of mastication,symptom,english,active
EN03345,Abnormality of Muscles of the Pharynx,abnormality of muscles of the pharynx,symptom,english,active
EN03346,Abnormality of Musculature of Facial Expression,abnormality of musculature of facial expression,symptom,english,active
EN03347,Abnormality of Musculature of Pharynx,abnormality of musculature of pharynx,symptom,english,active
EN03348,Abnormality of Musculature of Soft Palate,abnormality of musculature of soft palate,symptom,english,active
EN03349,Abnormality of Musculature of the Nose,abnormality of musculature of the nose,symptom,english,active
EN03350,Abnormality of Musculoskeletal Physiology,abnormality of musculoskeletal physiology,symptom,english,active
EN03351,Abnormality of Musculus Uvulae,abnormality of musculus uvulae,symptom,english,active
EN03352,Abnormality of Myeloid Leukocytes,abnormality of myeloid leukocytes,symptom,english,active
EN03353,Abnormality of Mylohyoid Muscle,abnormality of mylohyoid muscle,symptom,english,active
EN03354,Abnormality of Nail Color,abnormality of nail color,symptom,english,active
EN03355,Abnormality of Nasal Hair,abnormality of nasal hair,symptom,english,active
EN03356,Abnormality of Nasal Mucous Membrane,abnormality of nasal mucous membrane,symptom,english,active
EN03357,Abnormality of Nasal Musculature,abnormality of nasal musculature,symptom,english,active
EN03358,Abnormality of Nasalis Muscle,abnormality of nasalis muscle,symptom,english,active
EN03359,Abnormality of Nasopharyngeal Adenoids,abnormality of nasopharyngeal adenoids,symptom,english,active
